Marker,Allele,LUS,CA_BSR,CA_FSR,CA_DSR
FGA,22,13.98533007,,,
FGA,22.2,15,,,
FGA,22.3,13,,,
FGA,23,14.9628483,,,
FGA,23.2,15,,,
FGA,24,16,,,
FGA,24.2,17,,,
FGA,25,16.97115385,,,
FGA,25.2,18,,,
FGA,26,17.25490196,,,
FGA,27,16.2195122,,,
FGA,28,14.54545455,,,
FGA,29,16.2,,,
FGA,30,16,,,
FGA,30.2,14,,,
FGA,31.2,15,,,
FGA,43.2,13,,,
